hash;time MS;Collisions;
moby3.txt;3767091;642342;
JSHash;80;1971;
PJWHash;834;2640;
ELFHash;627;4950;
PJWHash;932;2610;
BKDRHash;931;3342;
SDBMHash;992;2910;
DJBHash;870;3342;
DEKHash;1090;2100;
BPHash;886;2238;
FNVHash;1076;2790;
APHash;1136;2112;
MurMurhash32;1158;2091;
MurMurhash64;1117;1929;
asci;1443;2814;
basic;65166;1551836352;
