hash;time MS;Collisions
benjamin.txt;11540513;1905360
JSHash;195;2920
PJWHash;767;1645
ELFHash;766;15765
PJWHash;933;4130
BKDRHash;934;8475
SDBMHash;935;2060
DJBHash;936;8475
DEKHash;1052;1440
BPHash;1027;3380
FNVHash;1138;1705
APHash;1676;7595
MurMurhash32;1179;1830
MurMurhash64;1202;1710
asci;1805;11600
basic;171796;3671050670
